,Location,Land_Area,Floor_Area,Number_of_Floors,Number_of_Bedrooms,Number_of_Bathrooms,House_Type,Year_Built,Condition,Parking_Availability,Proximity_to_City_Center,Price
Location,1.0,0.004442918572946053,0.006373907056491352,0.4814958227128412,0.009851082017015806,-0.0002864769299967865,0.0036935060214675058,-0.010583950427048388,0.015970465146292946,0.02665600380127794,-0.9274474209820495,0.07273959124696656
Land_Area,0.004442918572946053,1.0,0.9110235317702304,-0.015059204124685144,0.8811622632604977,0.6828347428198897,0.02783726895117518,-0.005015094126383025,0.008839948435884294,-0.0045399526543763,-0.009380481305584238,0.9842940958753889
Floor_Area,0.006373907056491352,0.9110235317702304,1.0,-0.011562603452447556,0.9755691871283269,0.7680724831104085,0.02759512637120718,-0.0019975142279441186,0.011734924105512747,-0.0005454950927340751,-0.008026038653211368,0.9560463741801161
Number_of_Floors,0.4814958227128412,-0.015059204124685144,-0.011562603452447556,1.0,-0.007608797776205337,-0.0008384368503077828,-0.019314413148762376,0.004770080203382879,0.009975010674825086,-0.005590589432033307,-0.4106659437210214,0.019308120977745643
Number_of_Bedrooms,0.009851082017015806,0.8811622632604977,0.9755691871283269,-0.007608797776205337,1.0,0.7877071651896117,0.027566019687844848,-0.0013307164315455953,0.01311378916138298,-0.0007662479535503964,-0.012707888574881704,0.9294078005115769
Number_of_Bathrooms,-0.0002864769299967865,0.6828347428198897,0.7680724831104085,-0.0008384368503077828,0.7877071651896117,1.0,0.011094206726176448,0.010035864632569468,0.015257634957290217,-0.030359668643582145,-0.003314651052071764,0.7298827075080722
House_Type,0.0036935060214675058,0.02783726895117518,0.02759512637120718,-0.019314413148762376,0.027566019687844848,0.011094206726176448,1.0,0.000729032476539046,-0.002648971624515572,0.0024789996275060614,-0.005514636604299796,0.028372424531871124
Year_Built,-0.010583950427048388,-0.005015094126383025,-0.0019975142279441186,0.004770080203382879,-0.0013307164315455953,0.010035864632569468,0.000729032476539046,1.0,-0.4607319134310463,-0.0048985634199359305,0.012144589496843982,0.018573368781335958
Condition,0.015970465146292946,0.008839948435884294,0.011734924105512747,0.009975010674825086,0.01311378916138298,0.015257634957290217,-0.002648971624515572,-0.4607319134310463,1.0,-0.012661912691080123,-0.0167063396582249,0.0014147101939659967
Parking_Availability,0.02665600380127794,-0.0045399526543763,-0.0005454950927340751,-0.005590589432033307,-0.0007662479535503964,-0.030359668643582145,0.0024789996275060614,-0.0048985634199359305,-0.012661912691080123,1.0,-0.032017326512495156,0.0189248685298083
Proximity_to_City_Center,-0.9274474209820495,-0.009380481305584238,-0.008026038653211368,-0.4106659437210214,-0.012707888574881704,-0.003314651052071764,-0.005514636604299796,0.012144589496843982,-0.0167063396582249,-0.032017326512495156,1.0,-0.0737742516406914
Price,0.07273959124696656,0.9842940958753889,0.9560463741801161,0.019308120977745643,0.9294078005115769,0.7298827075080722,0.028372424531871124,0.018573368781335958,0.0014147101939659967,0.0189248685298083,-0.0737742516406914,1.0
