Location,Land_Area,Floor_Area,Number_of_Floors,Number_of_Bedrooms,Number_of_Bathrooms,House_Type,Year_Built,Condition,Parking_Availability,Proximity_to_City_Center,Price
Rural,1699.02,1121.59,1,2,1,Single-Family,2017,Good,1,49.73,1270563.04
Urban,4006.42,3398.08,1,6,4,Multi-Family,1979,Renovated,0,5.89,3336080.09
Rural,1268.53,816.51,2,1,1,Apartment,1962,Old,1,56.76,1051620.71
Rural,3807.48,2817.92,1,5,2,Apartment,1964,Old,1,59.05,2922984.68
Urban,1400.77,766.53,4,1,1,Single-Family,1969,Old,0,9.87,1208042.55
Urban,2148.18,1122.45,1,2,1,Apartment,1983,Renovated,1,1.2,1631539.24
Rural,3139.27,2086.98,2,4,3,Single-Family,1969,Old,0,55.03,2328904.88
Suburban,1033.79,756.29,1,1,1,Multi-Family,1999,Renovated,1,25.17,964006.09
Rural,3969.02,2607.96,2,5,3,Multi-Family,1976,Renovated,1,36.58,2921369.94
Rural,2142.06,1566.05,2,3,1,Apartment,1979,Renovated,0,49.6,1665748.66
Rural,2637.28,1862.01,1,3,2,Single-Family,2005,Good,1,52.37,2087297.12
Rural,3662.2,2835.58,2,5,3,Apartment,2014,Good,0,50.84,2808136.59
Urban,1706.87,1296.9,1,2,1,Apartment,2004,Renovated,1,4.31,1441283.53
Rural,3560.81,2384.67,2,4,3,Multi-Family,1973,Old,1,57.54,2726424.78
Suburban,4140.53,2774.15,1,5,3,Apartment,1974,Old,1,27.21,3154700.63
Urban,1844.42,1026.07,2,2,2,Multi-Family,2002,Renovated,1,6.78,1399424.53
Suburban,3869.39,2729.06,1,5,3,Single-Family,1960,Old,1,12.7,2973093.21
Suburban,739.42,543.38,1,1,1,Apartment,2009,Good,1,14.96,759205.82
Suburban,2889.6,1995.55,1,3,2,Multi-Family,1996,Renovated,1,25.43,2167016.48
Suburban,1271.4,801.34,1,1,1,Apartment,1974,Old,1,22.57,1008730.75
Urban,3442.57,2715.02,2,5,3,Single-Family,1974,Old,1,1.53,2829019.15
Urban,3360.46,1780.59,4,3,2,Apartment,1966,Old,1,0.97,2472924.84
Suburban,4577.38,3962.99,1,7,4,Apartment,1961,Old,1,16.43,3711634.44
Suburban,3921.28,1993.02,1,3,2,Multi-Family,2001,Renovated,1,24.87,2789062.91
Urban,2334.23,2065.65,1,4,2,Single-Family,1960,Old,1,0.72,2051173.8
Urban,1418.25,971.42,1,1,1,Single-Family,1959,Old,0,6.35,1192671.49
Urban,3065.69,2038.89,3,4,2,Single-Family,2009,Good,1,2.44,2483753.56
Rural,2439.27,1469.85,1,2,2,Apartment,2003,Renovated,0,54.3,1695417.53
Rural,4051.16,2041.9,2,4,3,Multi-Family,2012,Good,0,38.12,2859786.49
Rural,333.62,203.48,1,1,1,Apartment,1969,Old,0,54.63,331886.33
Suburban,4688.06,2549.18,2,5,2,Apartment,1954,Old,0,16.21,3334879.58
Rural,3031.99,2316.22,1,4,3,Apartment,1990,Renovated,0,45.49,2369172.67
Suburban,1686.99,1058.81,1,2,2,Single-Family,2012,Good,1,23.93,1394179.81
Suburban,3233.99,2609.42,1,5,3,Multi-Family,2005,Good,1,19.64,2683821.13
Rural,3797.42,2213.01,1,4,3,Single-Family,1981,Renovated,0,30.78,2740931.58
Suburban,2614.35,2248.59,2,4,3,Apartment,1976,Renovated,1,21.07,2285809.04
Rural,735.08,521.31,1,1,1,Apartment,2017,Good,1,57.07,713180.07
Rural,2206.15,1204.12,2,2,1,Multi-Family,1997,Renovated,1,57.84,1596286.39
Urban,3539.4,2337.2,3,4,3,Single-Family,1956,Old,0,5.22,2762696.87
Rural,2996.66,1746.17,2,3,2,Apartment,1995,Renovated,0,58.05,2182580.74
Urban,2343.49,1358.93,3,2,2,Apartment,1967,Old,1,4.97,1876574.67
Rural,3808.32,2675.53,2,5,2,Multi-Family,1987,Renovated,0,30.9,2857111.68
Rural,3239.31,2490.24,2,4,2,Apartment,2014,Good,1,40.49,2635688.39
Urban,3316.34,2867.46,1,5,2,Single-Family,1966,Old,1,0.03,2853795.14
Urban,2089.37,1464.37,3,2,2,Single-Family,1987,Renovated,1,6.12,1716473.69
Rural,1992.62,1766.13,2,3,1,Apartment,2012,Good,1,53.94,1659114.12
Suburban,800.04,701.36,1,1,1,Apartment,1991,Renovated,0,14.88,858979.51
Urban,2240.61,1895.61,2,3,2,Apartment,1957,Old,1,8.16,1867138.8
Suburban,3435.39,2404.74,2,4,3,Multi-Family,1979,Renovated,1,28.23,2698714.44
Suburban,2295.91,1277.36,1,2,2,Multi-Family,2013,Good,1,26.35,1877986.01
Suburban,2945.54,1729.51,1,3,2,Single-Family,1958,Old,1,12.28,2264207.01
Urban,3611.2,2741.15,3,5,3,Single-Family,2006,Good,0,7.71,2990372.59
Suburban,2872.83,1921.07,1,3,2,Apartment,2008,Good,1,23.28,2206492.71
Urban,2970.51,1659.69,4,3,1,Apartment,2016,Good,1,0.1,2322879.49
Suburban,1142.18,789.93,2,1,1,Apartment,1954,Old,0,25.73,1026890.48
Rural,2177.44,1103.9,1,2,1,Multi-Family,1953,Old,0,43.88,1497462.11
Rural,4226.63,3354.08,1,6,4,Multi-Family,1957,Old,1,39.5,3334942.21
Urban,2603.8,1378.54,2,2,1,Apartment,1991,Renovated,1,8.38,2036895.72
Rural,4396.74,3304.79,2,6,4,Apartment,1984,Renovated,0,36.68,3385679.18
Rural,1776.88,1452.07,2,2,1,Single-Family,1962,Old,0,54.92,1335844.39
Suburban,2733.95,1512.03,2,3,1,Multi-Family,1954,Old,1,19.66,1884422.62
Urban,2117.32,1497.91,3,2,2,Apartment,1989,Renovated,0,5.41,1776106.2
Suburban,3091.98,2509.53,1,5,2,Multi-Family,1968,Old,1,13.72,2511794.76
Suburban,3395.01,2051.45,1,4,3,Apartment,1953,Old,1,10.83,2419981.39
Suburban,3102.47,1753.41,2,3,1,Apartment,2008,Good,1,22.23,2276229.55
Suburban,3541.85,2248.11,1,4,2,Single-Family,1967,Old,1,23.18,2649319.02
Suburban,2486.83,1795.19,1,3,1,Single-Family,1973,Old,0,19.97,1922757.68
Suburban,2309.47,1686.17,2,3,2,Single-Family,1980,Renovated,1,25.31,1954431.5
Suburban,741.81,409.74,1,1,1,Apartment,2007,Good,1,21.27,746103.13
Urban,3138.45,2143.65,4,4,2,Single-Family,1977,Renovated,1,2.77,2513677.17
Rural,2672.18,1622.85,2,3,1,Apartment,1958,Old,0,46.86,1860811.03
Suburban,2432.09,2035.2,2,4,3,Multi-Family,1994,Renovated,1,14.86,2129483.05
Suburban,2309.18,1444.23,2,2,1,Multi-Family,1998,Renovated,1,15.22,1878731.03
Suburban,2463.12,2057.89,2,4,2,Apartment,1951,Old,1,10.61,2165208.02
Suburban,2263.76,1519.95,2,3,2,Single-Family,1955,Old,1,28.01,1785202.99
Suburban,1971.97,1559.11,2,3,1,Single-Family,1978,Renovated,1,29.98,1703331.51
Suburban,2739.59,1928.74,1,3,1,Multi-Family,1975,Renovated,0,26.33,2102978.46
Rural,2984.16,2234.49,1,4,3,Apartment,1977,Renovated,1,38.71,2326823.46
Rural,1729.43,1138.21,2,2,2,Apartment,1956,Old,1,53.25,1380697.71
Suburban,2099.26,1694.7,2,3,2,Apartment,1983,Renovated,0,25.49,1697728.14
Rural,2295.38,1538.08,1,3,2,Multi-Family,2005,Good,1,36.89,1781437.55
Urban,2504.81,1710.75,2,3,1,Multi-Family,1959,Old,1,1.12,2082473.06
Suburban,2371.81,1677.04,2,3,2,Single-Family,2006,Good,1,15.59,1921174.75
Urban,3159.72,2631.19,2,5,3,Apartment,1996,Renovated,0,9.46,2612832.87
Urban,847.63,647.38,1,1,1,Apartment,1976,Renovated,1,1.51,981955.35
Suburban,1024.96,655.63,2,1,1,Apartment,1988,Renovated,1,29.56,937604.17
Rural,2693.57,2069.01,2,4,3,Apartment,1971,Old,0,54.19,2023431.88
Urban,1897.31,1436.21,1,2,1,Multi-Family,1968,Old,0,6.32,1608135.9
Suburban,3384.24,2952.44,2,5,3,Single-Family,1958,Old,1,26.75,2818443.29
Urban,3669.8,3070.03,1,6,4,Multi-Family,1968,Old,0,4.71,3094112.11
Urban,2733.75,2074.86,1,4,2,Single-Family,1951,Old,0,8.29,2260313.55
Urban,1428.03,909.09,2,1,1,Apartment,2010,Good,1,0.81,1264131.32
Urban,3554.59,2885.72,4,5,3,Apartment,2008,Good,1,3.77,3004350.6
Rural,2698.9,1970.42,1,3,1,Apartment,2019,Good,1,45.3,2133831.98
Urban,1013.06,905.79,3,1,1,Apartment,2020,New,1,1.24,1097674.22
Urban,1101.48,659.79,2,1,1,Apartment,2019,Good,1,0.86,1009450.63
Urban,4016.95,2136.46,4,4,3,Multi-Family,1982,Renovated,1,1.8,2901493.25
Rural,3851.14,2033.24,2,4,3,Single-Family,2014,Good,1,43.28,2742826.32
Urban,17.14,12.96,2,1,1,Multi-Family,1974,Old,1,9.66,224802.41
Urban,1142.21,1000.24,2,2,2,Apartment,2019,Good,1,4.76,1170782.65
Rural,3640.86,1823.24,2,3,2,Single-Family,1977,Renovated,1,44.26,2600432.13
Rural,2481.51,1961.16,1,3,1,Single-Family,1967,Old,1,49.07,2037332.11
Rural,3201.85,2442.45,1,4,3,Apartment,2012,Good,0,33.55,2557818.63
Urban,2438.05,1933.18,3,3,2,Single-Family,1998,Renovated,1,5.03,2137083.07
Rural,3154.49,2025.69,1,4,3,Multi-Family,2015,Good,1,44.24,2398223.9
Rural,2505.83,2075.32,1,4,2,Multi-Family,1989,Renovated,1,50.42,2040995.16
Urban,2062.39,1068.08,2,2,1,Multi-Family,2015,Good,0,0.58,1643124.12
Rural,3558.74,2854.72,1,5,3,Multi-Family,1953,Old,1,30.95,2878948.91
Urban,2702.05,1639.68,4,3,2,Single-Family,1983,Renovated,0,7.69,2152054.84
Suburban,3152.39,2177.47,1,4,2,Multi-Family,1954,Old,1,26.36,2444159.22
Rural,2657.45,2203.17,2,4,3,Single-Family,1971,Old,1,31.72,2177983.67
Suburban,2013.64,1225.39,2,2,1,Apartment,1969,Old,1,28.76,1656952.91
Urban,4108.39,2358.56,1,4,2,Multi-Family,1996,Renovated,1,4.85,2948016.86
Rural,2854.97,2205.54,2,4,2,Apartment,1983,Renovated,1,51.06,2322646.16
Urban,2144.95,1530.12,3,3,1,Multi-Family,1993,Renovated,0,2.99,1762993.56
Suburban,3778.33,2666.6,2,5,2,Apartment,1955,Old,1,12.23,2911019.64
Urban,1179.18,710.7,4,1,1,Apartment,2005,Good,1,6.35,1065350.78
Rural,4736.28,2434.22,2,4,2,Apartment,1978,Renovated,1,55.82,3187924.61
Rural,2320.85,1541.29,1,3,2,Apartment,2002,Renovated,0,44.48,1755079.01
